Method,Precision@5,Recall@5,MAP,nDCG@5,Mean_Satisfaction,Mean_Revenue,Run
Relevance-Only,0.5466666666666666,0.16314744552907495,0.5547762559086622,0.5648651427462599,0.6124674371494243,83.92057192725885,21
Revenue-Driven,0.4566666666666667,0.1369352693821835,0.4544265763206806,0.4384448909996058,0.43870275486901034,207.05187684019242,21
Static-Weighted-Sum,0.5366666666666667,0.16000014366370033,0.5532072519066371,0.5547639123257778,0.7643642137278329,85.48069090089878,21
Popularity-Based,0.39166666666666666,0.11477214894326046,0.4796358858801238,0.4051577448385376,0.4271485292039361,73.99409460492572,21
Content-Based,0.49166666666666664,0.14792998812277147,0.5200353151407399,0.4738461459031394,0.4720922660105202,85.93046628758857,21
IMOHAG (HASMO),0.5533333333333333,0.16586911277751232,0.5532453622409822,0.5649906076430347,0.7630241089618158,100.96684629655512,21
Random,0.3983333333333334,0.12411065936102952,0.4444406273553971,0.401568978735552,0.43020656288378295,87.37321735438256,22
Relevance-Only,0.58,0.18443496706040455,0.5619279463680528,0.5943945303801603,0.6104601161935861,79.2405644050419,22
Revenue-Driven,0.4233333333333334,0.13336722519944522,0.4489782355610183,0.4315942540137099,0.5144173395050419,185.89735465472623,22
Static-Weighted-Sum,0.5416666666666666,0.1714099465337014,0.5429682807717907,0.5537943234460178,0.7715542678271586,81.43952890885443,22
Popularity-Based,0.4166666666666667,0.12942230165893343,0.43102174038753227,0.44622283017348996,0.4594079305682309,75.83631356243444,22
Content-Based,0.53,0.1684476721183798,0.5203260261544392,0.5118575995837696,0.5131777923019706,79.20604206009017,22
IMOHAG (HASMO),0.5383333333333333,0.17098050985510602,0.5397473897969282,0.5398850539960669,0.7712449054174149,91.8067006418241,22
Random,0.44833333333333336,0.12611326408905155,0.4889800752799504,0.44742488849336165,0.4589816655927571,81.02800710763539,23
Relevance-Only,0.6433333333333333,0.18403143387350548,0.5971068347386503,0.6572049480698484,0.6247121000001872,81.78891158051303,23
Revenue-Driven,0.47833333333333333,0.13421341974925063,0.48881330849515936,0.4892622486504994,0.5572549389183395,159.54516211664907,23
Static-Weighted-Sum,0.5783333333333334,0.16517118936555436,0.5710125576199341,0.5877804389532204,0.7595300026783185,90.03694287790046,23
Popularity-Based,0.46166666666666667,0.1299213024901543,0.49142928054923274,0.4789704153979056,0.4991116255457789,68.97053849653678,23
Content-Based,0.48166666666666663,0.1368222380589876,0.5390526609714885,0.4708376728222689,0.47852418913301037,81.70889366346094,23
IMOHAG (HASMO),0.5866666666666667,0.16769515661733658,0.575628431953852,0.6024141955754018,0.7660145602195113,99.64779372780269,23
Random,0.46166666666666667,0.12838455857002262,0.498573652282096,0.4563658530597777,0.5047332258991671,76.81855406930045,24
Relevance-Only,0.625,0.17467096856096048,0.5979668257671183,0.6451209174983379,0.6513912627769244,77.53516892304077,24
Revenue-Driven,0.46166666666666667,0.12819000499564,0.4850747726279676,0.43039677561717493,0.435869091931532,155.51662040892342,24
Static-Weighted-Sum,0.6066666666666667,0.16976489873956727,0.5807558623758398,0.617410347444841,0.7946206204339638,80.81748937037385,24
Popularity-Based,0.44666666666666666,0.12186493344770871,0.5195327517332057,0.44484847376350856,0.5070507828991012,64.30744583179323,24
Content-Based,0.5733333333333334,0.1598283742806054,0.5669445329491033,0.5776303280259193,0.563904927053536,78.78236208589848,24
IMOHAG (HASMO),0.6033333333333334,0.16843006217047138,0.5811875360852511,0.6214990734945961,0.7875113695510245,84.4419586373619,24
Random,0.44000000000000006,0.12011538090585573,0.5025174371720891,0.4308572860635478,0.501352450498539,78.34787368093255,25
Relevance-Only,0.605,0.16585472530546733,0.5873085085667807,0.6030740562494529,0.6444675288942019,73.2409600463909,25
Revenue-Driven,0.385,0.10339073397281938,0.4744214198197855,0.38261138991433596,0.4770816814270156,175.3526194592179,25
Static-Weighted-Sum,0.5933333333333334,0.16288605740988296,0.590439201680951,0.6125444652731401,0.7893549288919446,74.70887926488007,25
Popularity-Based,0.4266666666666667,0.11674975565077698,0.5122723475186162,0.4405434637737492,0.48271969901651046,74.74224072000992,25
Content-Based,0.5683333333333334,0.15438329622671393,0.572193886582294,0.5701630794526457,0.5680168477315324,80.85918941337823,25
IMOHAG (HASMO),0.6,0.16505267366157123,0.5872523402370753,0.610789618934632,0.7908976895577363,81.19376773737082,25
Random,0.41333333333333333,0.12372827557071736,0.4572672989164835,0.40499127323189893,0.4563091238275601,87.92636554258776,26
Relevance-Only,0.6083333333333333,0.18525689268660228,0.5825175295531319,0.6132342308470821,0.6119012997603179,88.66596896156692,26
Revenue-Driven,0.36833333333333335,0.11044128762571688,0.46438196143368626,0.3633479463102648,0.3598081959087351,164.57752877849694,26
Static-Weighted-Sum,0.6383333333333333,0.196180747682506,0.5940221504785193,0.6516106311608688,0.7442393449800501,91.18014656994953,26
Popularity-Based,0.43666666666666665,0.13159138665578798,0.4763382003298679,0.41949089746612667,0.4394891473154689,85.03873422898883,26
Content-Based,0.4966666666666667,0.15013362177032424,0.5239614829190977,0.5178621674643451,0.495249042807694,82.1836875955526,26
IMOHAG (HASMO),0.645,0.19792870572522106,0.5945594802355404,0.6565551491579592,0.7544108333282178,95.20019691893276,26
Random,0.42833333333333334,0.12448462812071642,0.48954109185956846,0.4401078292543525,0.467537626379225,86.49511722346422,27
Relevance-Only,0.64,0.18491997985276018,0.5966357769887405,0.6571161009009766,0.6286449013314434,99.87780948224652,27
Revenue-Driven,0.51,0.1461444377044138,0.513844405263322,0.5129978914948322,0.5645669266325675,177.96723604383152,27
Static-Weighted-Sum,0.625,0.18241684748604423,0.5967751163621156,0.645872765817226,0.7685678034564886,109.26458535937816,27
Popularity-Based,0.5416666666666666,0.15755101660409407,0.5044210616058641,0.5596611522019048,0.5404617940137068,94.46410341659649,27
Content-Based,0.565,0.1613499094289746,0.5563339585143579,0.5724974763255491,0.5642544252286714,79.63788260972191,27
IMOHAG (HASMO),0.64,0.18638779602065372,0.5954666958537451,0.6512842022015624,0.7741780574252087,122.93358304811618,27
Random,0.39,0.12252764128660111,0.4468271898256636,0.3877001969256427,0.39086490838578586,88.90531841455837,28
Relevance-Only,0.5966666666666666,0.19037570060415498,0.5655850464887056,0.6172478253114164,0.614934978399139,89.67946719049691,28
Revenue-Driven,0.39166666666666666,0.12283456109151862,0.441325172115539,0.37891110173225623,0.4181001600517972,179.61997815832189,28
Static-Weighted-Sum,0.5666666666666667,0.17905717823615588,0.5572949387515261,0.5858200409961791,0.7621710644975612,91.0271337491473,28
Popularity-Based,0.525,0.1655959518192406,0.5000310083653543,0.5302143422339431,0.5232708244510513,71.07277362364589,28
Content-Based,0.505,0.16077002008457286,0.5057325632172553,0.48597789410435976,0.45583730294090186,85.39200617331797,28
IMOHAG (HASMO),0.5816666666666667,0.18346553486490727,0.5558764440382304,0.5936188251545833,0.7620634259452296,96.46059569906015,28
Random,0.405,0.12379041305415144,0.4569209655805125,0.4054582692720542,0.4426136133435574,77.23927664432698,29
Relevance-Only,0.605,0.18564642572769507,0.5742765912804603,0.6113768936846622,0.6376757140267895,73.691815413214,29
Revenue-Driven,0.4066666666666667,0.12487247133241715,0.4542566800041107,0.4037399668248724,0.44572842066074664,170.2644251440689,29
Static-Weighted-Sum,0.605,0.1865854635417329,0.5763121264980718,0.6226579565643715,0.7643275727881886,74.21488459993117,29
Popularity-Based,0.40166666666666667,0.11938021966853235,0.4697437022959083,0.4038690874511026,0.4154587399272933,64.13552760826391,29
Content-Based,0.5283333333333333,0.16290184649801523,0.5342714232509225,0.5265872875995036,0.5307486464082911,87.81882497458984,29
IMOHAG (HASMO),0.5966666666666666,0.18424711769139013,0.5745337872599057,0.613865722803186,0.7574489466756722,80.98387488690435,29
